Id,Nom,Type,Taille,Alignement,CA,PV,Force,Dexterite,Constitution,Intelligence,Sagesse,Charisme,Competences,Jets de sauvegarde,Immunités aux dégâts,Résistances aux dégâts,Immunités aux états,Sens,Langues,FP
0,Aarakocra,Humanoïde (aarakocra) , M, neutre bon, 12,13 (3d8),10 (+0),14 (+2),10 (+0),11 (+0),12 (+1),11 (+0), Perception +5,,,,, Perception passive 15," aérien, aarakocra", 1/4 (50 PX)
1,Aboleth,Aberration , G, loyal mauvais, 17 (armure naturelle),135 (18d10 + 36),21 (+5),9 (-1),15 (+2),18 (+4),15 (+2),18 (+4)," Histoire +12, Perception +10"," Con +6, Int +8, Sag +6",,,," vision dans le noir 36 m, Perception passive 20"," profond, télépathie 36 m", 10 (5900 PX)
2,Acolyte,Humanoïde (toute race) , M, tout alignement, 10,9 (2d8),10 (+0),10 (+0),10 (+0),10 (+0),14 (+2),11 (+0)," Médecine +4, Religion +2",,,,, Perception passive 12, une langue au choix (généralement le commun), 1/4 (50 PX)
3,Aigle,Bête , P, sans alignement, 12,3 (1d6),6 (-2),15 (+2),10 (+0),2 (-4),14 (+2),7 (-2), Perception +4,,,,, Perception passive 14, —, 0 (10 PX)
4,Aigle géant,Bête , G, neutre bon, 13,26 (4d10 + 4),16 (+3),17 (+3),13 (+1),8 (-1),14 (+2),10 (+0), Perception +4,,,,, Perception passive 14, Un aigle géant comprend le commun et l'aérien mais ne peut pas les parler, 1 (200 PX)
5,Allosaure,Bête , G, sans alignement, 13 (armure naturelle),51 (6d10 + 18),19 (+4),13 (+1),17 (+3),2 (-4),12 (+1),5 (-3), Perception +5,,,,, Perception passive 15, —, 2 (450 PX)
6,Âme en peine,Mort-vivant , M, neutre mauvais, 13,67 (9d8 + 27),6 (-2),16 (+3),16 (+3),12 (+1),14 (+2),15 (+2),,," nécrotique, poison"," acide, feu, foudre, froid, tonnerre ; contondant, perforant et tranchant d'attaques non magiques qui ne sont pas en argent"," à terre, charmé, épuisement, agrippé, paralysé, pétrifié, empoisonné, entravé"," vision dans le noir 18 m, Perception passive 12", les langues qu'elle connaissait de son vivant, 5 (1800 PX)
7,Androsphinx,Monstruosité , G, loyal neutre, 17 (armure naturelle),199 (19d10 + 95),22 (+6),10 (+0),20 (+5),16 (+3),18 (+4),23 (+6)," Arcanes +9, Perception +10, Religion +15"," Dex +6, Con +11, Int +9, Sag +10"," psychique ; contondant, perforant et tranchant d'attaques non magiques",," charmé, effrayé"," vision véritable 36 m, Perception passive 20"," commun, sphinx", 17 (18000 PX)
8,Ankheg,Monstruosité , G, sans alignement," 14 (armure naturelle), 11 lorsqu'il est à terre",39 (6d10 + 6),17 (+3),11 (+0),13 (+1),1 (-5),13 (+1),6 (-2),,,,,," vision dans le noir 18 m, perception des vibrations 18 m, Perception passive 11", —, 2 (450 PX)
9,Ankylosaure,Bête , TG, sans alignement, 15 (armure naturelle),68 (8d12 + 16),19 (+4),11 (+0),15 (+2),2 (-4),12 (+1),5 (-3),,,,,, Perception passive 11, —, 3 (700 PX)
10,Araignée,Bête , TP, sans alignement, 12,1 (1d4 - 1),2 (-4),14 (+2),8 (-1),1 (-5),10 (+0),2 (-4), Discrétion +4,,,,," vision dans le noir 9 m, Perception passive 10", —, 0 (10 PX)
11,Araignée de phase,Monstruosité , G, sans alignement, 13 (armure naturelle),32 (5d10 + 5),15 (+2),15 (+2),12 (+1),6 (-2),10 (+0),6 (-2), Discrétion +6,,,,," vision dans le noir 18 m, Perception passive 10", —, 3 (700 PX)
12,Araignée géante,Bête , G, sans alignement, 14 (armure naturelle),26 (4d10 + 4),14 (+2),16 (+3),12 (+1),2 (-4),11 (+0),4 (-3), Discrétion +7,,,,," vision aveugle 3 m, vision dans le noir 18 m, Perception passive 10", —, 1 (200 PX)
13,Araignée-loup géante,Bête , M, sans alignement, 13,11 (2d8 + 2),12 (+1),16 (+3),13 (+1),3 (-4),12 (+1),4 (-3)," Discrétion +7, Perception +3",,,,," vision aveugle 3 m, vision dans le noir 18 m, Perception passive 13", —, 1/4 (50 PX)
14,Arbre éveillé,Plante , TG, sans alignement, 13 (armure naturelle),59 (7d12 + 14),19 (+4),6 (-2),15 (+2),10 (+0),10 (+0),7 (-2),,,," contondant, perforant",, Perception passive 10, une langue connue par son créateur, 2 (450 PX)
15,Arbuste éveillé,Plante , P, sans alignement, 9,10 (3d6),3 (-4),8 (-1),11 (+0),10 (+0),10 (+0),6 (-2),,,, perforant,, Perception passive 10, une langue connue par son créateur, 0 (10 PX)
