Id,Nom,Description
0,Serres," <em>Attaque au corps à corps avec une arme</em> : +4 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 4 (1d4 + 2) dégâts tranchants."
0,Javeline," <em>Attaque au corps à corps ou à distance avec une arme</em> : +4 au toucher, allonge 1,50 m ou portée 9/36 m, une cible. <em>Touché</em>&nbsp;: 5 (1d6 + 2) dégâts perforants."
1,Attaques multiples, L'aboleth effectue trois attaques avec ses tentacules.
1,Tentacule," <em>Attaque au corps à corps avec une arme</em> : +9 au toucher, allonge 3 m, une cible. <em>Touché</em>&nbsp;: 12 (2d6 + 5) dégâts contondants. Si la cible est une créature, elle doit réussir un jet de sauvegarde de Constitution DD 14 ou tomber malade. Cette maladie n'a aucun effet pendant 1 minute et peut être annulée par toute magie qui soigne les maladies. Après 1 minute, le teint de la créature malade devient translucide et visqueux, la créature ne peut pas récupérer de points de vie si elle n'est pas sous l'eau, et cette maladie ne peut plus être soignée que par <em><a href=""https://www.aidedd.org/dnd/sorts.php?vf=guerison"">guérison</a></em> ou tout autre sort de guérison des maladies de niveau 6 ou supérieur. Lorsque la créature est en dehors d'une étendue d'eau, elle subit 6 (1d12) dégâts d'acide toutes les 10 minutes à moins que son corps ne soit humidifié avant que 10 minutes ne se soient écoulées."
1,Queue," <em>Attaque au corps à corps avec une arme</em> : +9 au toucher, allonge 3 m, une cible. <em>Touché</em>&nbsp;: 15 (3d6 + 5) dégâts contondants."
1,Asservissement (3/jour)," L'aboleth cible une créature qu'il peut voir dans un rayon de 9 mètres autour de lui. La cible doit réussir un jet de sauvegarde de Sagesse DD 14 ou être charmée magiquement par l'aboleth jusqu'à ce que l'aboleth ne meure ou se trouve sur un plan d'existence différent de celui de la cible. La cible charmée est sous le contrôle de l'aboleth et ne peut pas utiliser de réaction, de plus l'aboleth et la cible peuvent communiquer par télépathie entre eux quelle que soit la distance. Chaque fois que la cible subit des dégâts, elle peut retenter son jet de sauvegarde. Si elle le réussit, l'effet se termine. Pas plus d'une fois toutes les 24 heures, la cible peut également retenter son jet de sauvegarde lorsqu'elle se trouve à plus de 1,5 kilomètre de l'aboleth."
2,Gourdin," <em>Attaque au corps à corps avec une arme</em> : +2 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 2 (1d4) dégâts contondants."
3,Serres," <em>Attaque au corps à corps avec une arme</em> : +4 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 4 (1d4 + 2) dégâts tranchants."
4,Attaques multiples, L'aigle réalise deux attaques : une avec son bec et une avec ses serres.
4,Bec," <em>Attaque au corps à corps avec une arme</em> : +5 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 6 (1d6 + 3) dégâts perforants."
4,Serres," <em>Attaque au corps à corps avec une arme</em> : +5 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 10 (2d6 + 3) dégâts tranchants."
5,Griffes," <em>Attaque au corps à corps avec une arme</em> : +6 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 8 (1d8 + 4) dégâts tranchants."
5,Morsure," <em>Attaque au corps à corps avec une arme</em> : +6 au toucher, allonge 1,50 m, une cible. <em>Touché</em>&nbsp;: 15 (2d10 + 4) dégâts perforants."
6,Absorption de vie," <em>Attaque au corps à corps avec une arme</em> : +6 au toucher, allonge 1,50 m, une créature. <em>Touché</em>&nbsp;: 21 (4d8 + 3) dégâts nécrotiques. La cible doit réussir un jet de sauvegarde de Constitution DD 14 pour ne pas subir une diminution de son maximum de points de vie égale aux dégâts subis. Cette diminution perdure jusqu'à ce que la cible termine un repos long. La cible meurt si cet effet réduit son maximum de points de vie à 0."
6,Création de spectre," L'âme en peine prend pour cible un humanoïde se trouvant à 3 mètres ou moins, décédé depuis 1 minute maximum et dont la mort fut violente. L'esprit de la cible se relève en tant que spectre, à l'endroit où se trouve le corps ou dans l'espace inoccupé le plus proche. Le spectre est sous le contrôle de l'âme en peine. L'âme en peine ne peut pas avoir plus de sept spectres sous son contrôle en même temps."
