Id,Nom,Description
1,Détection, L'aboleth effectue un jet de Sagesse (Perception).
1,Attaque avec la queue, L'aboleth effectue une attaque avec sa queue.
1,Absorption psychique (coûte 2 actions)," Une créature charmée par l'aboleth subit 10 (3d6) dégâts psychiques, et l'aboleth récupère un montant de point de vie égal aux dégâts que cette créature a subis."
7,Attaque avec les griffes, Le sphinx effectue une attaque avec ses griffes.
7,Téléportation (coûte 2 actions)," Le sphinx se téléporte par magie, emportant avec lui l'équipement qu'il porte ou transporte, jusqu'à un espace inoccupé qu'il peut voir dans un rayon de 36 mètres."
7,Sort (coûte 3 actions)," Le sphinx lance un sort choisi parmi sa liste de sorts préparés, en utilisant un emplacement de sort normalement."
79,Envolée, La demi-liche s'envole de la moitié de sa vitesse de déplacement.
79,Nuage de poussière," La demi-liche fait tourbillonner par magie la poussière de ses restes. Chaque créature se trouvant à 3 mètres ou moins de la demi-liche, y compris derrière les angles des murs, doit réussir un jet de sauvegarde de Constitution DD 15 ou être aveuglé jusqu'à la fin du prochain tour de la demi-liche. Une créature qui réussit son jet de sauvegarde est immunisée contre cet effet jusqu'à la fin du prochain tour de la demi-liche."
79,Absorption d'énergie (coûte 2 actions)," Chaque créature se trouvant dans un rayon de 9 mètres de la demi-liche doit effectuer un jet de sauvegarde de Constitution DD 15. En cas d'échec, le maximum de points de vie de la créature est réduit magiquement de 10 (3d6). Si le maximum de points de vie de la créature est réduit à 0 par cet effet, la créature meurt. Le maximum de points de vie de la créature peut être récupéré grâce à un sort de <em><a href=""https://www.aidedd.org/dnd/sorts.php?vf=restauration-superieure"">restauration supérieure</a></em> ou un effet magique similaire."
79,Infâme malédiction (coûte 3 actions)," La demi-liche cible une créature qu'elle peut voir et se trouvant à 9 mètres. La cible doit réussir un jet de sauvegarde de Sagesse DD 15 ou être maudite par magie. Jusqu'à ce que la malédiction prenne fin, la cible a un désavantage aux jets d'attaque et de sauvegarde. La cible peut retenter son jet de sauvegarde à la fin de chacun de ses tours, mettant fin à la malédiction en cas de réussite."
96,Détection, La dracoliche effectue un jet de Sagesse (Perception).
96,Attaque avec la queue, La dracoliche effectue une attaque avec sa queue.
96,Attaque avec les ailes (coûte 2 actions), La dracoliche bat des ailes. Chaque créature située à 3 mètres ou moins de la dracoliche doit réussir un jet de sauvegarde de Dextérité DD 21 ou subir 14 (2d6 + 7) dégâts contondants et être jetée à terre. La dracoliche peut ensuite s'envoler de la moitié de sa vitesse de vol.
97,Détection, Le dragon effectue un jet de Sagesse (Perception).
97,Attaque avec la queue, Le dragon effectue une attaque avec sa queue.
