Id,Nom,Description
0,Attaque en piqué," Si l'aarakocra vole sur au moins 9 mètres en ligne droite vers une cible, puis la touche lors d'une attaque au corps à corps avec une arme, l'attaque inflige 3 (1d6) dégâts supplémentaires à la cible."
1,Amphibien, L'aboleth peut respirer aussi bien dans l'air que sous l'eau.
1,Nuage de mucus," Lorsqu'il est sous l'eau, l'aboleth est entouré d'un mucus altérant. Une créature qui touche l'aboleth ou qui le frappe lors d'une attaque au corps à corps en se trouvant à 1,50 mètre ou moins de lui, doit effectuer un jet de sauvegarde de Constitution DD 14. Si elle l'échoue, la créature tombe malade pour les 1d4 prochaines heures. Une créature malade ne peut respirer que sous l'eau."
1,Pénétration télépathique," Si une créature communique par télépathie avec l'aboleth, l'aboleth découvre les plus grands désirs de la créature, à condition qu'il puisse voir la créature."
2,Incantation," L'acolyte est un lanceur de sorts de niveau 1. Sa caractéristique d'incantation est la Sagesse (jet de sauvegarde contre ses sorts DD 12, +4 au toucher pour les attaques avec un sort). L'acolyte a préparé les sorts de clerc suivants&nbsp;:"
3,Vue aiguisée, L'aigle a un avantage aux jets de Sagesse (Perception) faisant appel à la vue.
4,Vue aiguisée, L'aigle a un avantage aux jets de Sagesse (Perception) faisant appel à la vue.
5,Bond agressif," Si l'allosaure se déplace d'au moins 9 mètres en ligne droite vers une créature, puis la touche lors d'une attaque avec ses griffes dans le même tour, la cible doit réussir un jet de sauvegarde de Force DD 13 ou tomber à terre. Si la cible est à terre, l'allosaure peut effectuer une attaque de morsure contre elle en tant qu'action bonus."
6,Déplacement intangible, L'âme en peine peut se déplacer à travers d'autres créatures ou des objets comme si elle traversait un terrain difficile. Elle subit 5 (1d10) dégâts de force si elle termine son tour à l'intérieur d'un objet.
6,Sensibilité au soleil," Si elle est exposée à la lumière du soleil, l'âme en peine a un désavantage aux jets d'attaque et aux jets de Sagesse (Perception) basés sur la vue."
7,Inscrutable," Le sphinx est immunisé aux effets cherchant à ressentir ses émotions ou à lire ses pensées, ainsi qu'à n'importe quel sort de divination qu'il refuse. Les jets de Sagesse (Intuition) réalisés pour connaître les intentions ou la sincérité du sphinx subissent un désavantage."
7,Armes magiques, Les attaques avec une arme du sphinx sont magiques.
7,Incantation," Le sphinx est un lanceur de sorts de niveau 12. Sa caractéristique d'incantation est la Sagesse (jet de sauvegarde contre ses sorts DD 18, +10 au toucher pour les attaques avec un sort). Il n'a pas besoin de composantes matérielles pour lancer ses sorts. Le sphinx a la liste de sorts de clerc préparée :"
10,Pattes d'araignée, L'araignée peut escalader des surfaces difficiles et être au plafond la tête en bas sans avoir besoin d'effectuer un jet de caractéristique.
10,Sens de la toile," Lorsqu'elle est en contact avec une toile, l'araignée connait l'emplacement exact de toutes les créatures qui sont en contact avec cette toile."
10,Déplacement sur la toile, L'araignée ignore les restrictions de mouvement causées par une toile d'araignée.
11,Saut éthéré," Par une action bonus, l'araignée peut magiquement passer du plan matériel au plan éthéré, et vice versa."
11,Pattes d'araignée, L'araignée peut escalader des surfaces difficiles et être au plafond la tête en bas sans avoir besoin d'effectuer un jet de caractéristique.
11,Déplacement sur la toile, L'araignée ignore les restrictions de mouvement causées par une toile d'araignée.
12,Déplacement sur la toile, L'araignée ignore les restrictions de mouvement causées par une toile d'araignée.
12,Pattes d'araignée, L'araignée peut escalader des surfaces difficiles et être au plafond la tête en bas sans avoir besoin d'effectuer un jet de caractéristique.
12,Sens de la toile," Lorsqu'elle est en contact avec une toile, l'araignée connait l'emplacement exact de toutes les créatures qui sont en contact avec cette toile."
