Id,Nom,Cle,Description,type,Source
0,Amulette d'antidétection,amulette-d-antidetection ,"Lorsque vous portez cette amulette, vous êtes protégé contre la divination magique. Vous ne pouvez pas être ciblé par une telle magie ou perçu par des capteurs de divination magique.

","Objet merveilleux, peu commun (nécessite un lien)",Dungeon Master´s Guide (SRD)
1,Amulette de bonne santé,amulette-de-bonne-sante ,"Votre Constitution passe à 19 tant que vous portez cette amulette. L'amulette n'a aucun effet sur vous si votre Constitution est de 19 ou plus sans elle.

","Objet merveilleux, rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
2,Amulette de cicatrisation,amulette-de-cicatrisation ,"Lorsque vous portez ce pendentif, vous vous stabilisez chaque fois que vous êtes mourant au début de votre tour. En outre, chaque fois que vous lancez un dé de vie pour regagner des points de vie, vous doublez le nombre de points de vie récupéré.

","Objet merveilleux, peu commun (nécessite un lien)",Dungeon Master´s Guide (SRD)
3,Amulette de protection contre le poison,amulette-de-protection-contre-le-poison ,"Cette fine chaîne d'argent possède une gemme noire joliment taillée. Lorsque vous la portez, les poisons n'ont aucun effet sur vous. Vous êtes immunisé contre l'état empoisonné et contre les dégâts de poison.

","Objet merveilleux, rare",Dungeon Master´s Guide (SRD)
4,Amulette de santé,amulette-de-sante ,"Vous êtes immunisé contre toutes les maladies tant que vous portez ce pendentif. Si vous êtes déjà infecté par une maladie, les effets de celle-ci disparaissent tant que vous portez le pendentif.

","Objet merveilleux, peu commun",Dungeon Master´s Guide (SRD)
5,Amulette de sombre éclat,amulette-de-sombre-eclat ,"Cette amulette est fabriquée à partir d'un éclat résistant de matériau extraplanaire provenant du royaume de votre patron d'occultiste. Tant que vous le portez, vous bénéficiez des avantages suivants :

","Objet merveilleux, commun (nécessite un lien avec un occultiste)",Xanathar´s Guide to Everything
6,Amulette des plans,amulette-des-plans ,"Lorsque vous portez cette amulette, vous pouvez utiliser une action pour nommer un lieu qui vous est familier sur un autre plan d'existence. Ensuite, faites un jet d'Intelligence DD 15. En cas de réussite, vous lancez le sort <a href=""https://www.aidedd.org/dnd/sorts.php?vf=changement-de-plan"">changement de plan</a>. En cas d'échec, vous et toute créature ou objet dans un rayon de 4,50 m voyagez vers une destination aléatoire. Lancez un d100. Sur 1-60, vous voyagez à un endroit aléatoire sur le plan que vous avez nommé. Sur 61-100, vous voyagez dans un plan d'existence déterminé au hasard.

","Objet merveilleux, très rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
7,Amulette mécanique,amulette-mecanique ,"Cette amulette en cuivre contient de minuscules engrenages imbriqués et est alimentée par la magie de Mechanus, un plan extérieur. Une créature qui colle son oreille à l'amulette peut entendre de faibles bruits de tic-tac et de vrombissement venant de l'intérieur. Lorsque vous effectuez un jet d'attaque tout en portant l'amulette, vous pouvez renoncer à lancer le d20 et obtenir automatiquement 10 au dé. Une fois utilisée, cette propriété ne peut être réutilisée avant l'aube suivante.

","Objet merveilleux, commun",Xanathar´s Guide to Everything
8,Anneau d'action libre,anneau-d-action-libre ,"Tant que vous êtes équipé de cet anneau, les terrains difficiles ne vous coûtent pas de déplacement supplémentaire. De plus, aucune magie ne peut réduire votre vitesse de déplacement ni vous paralyser ou vous entraver.

","Anneau, rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
9,Anneau d'esquive totale,anneau-d-esquive-totale ,"Cet anneau possède 3 charges, et récupère 1d3 charges dépensées chaque jour à l'aube. Si vous échouez à un jet de sauvegarde de Dextérité alors que vous portez l'anneau, vous pouvez utiliser votre réaction pour dépenser 1 charge et ainsi réussir ce jet de sauvegarde.

","Anneau, rare (nécessite un lien)",Dungeon Master´s Guide (SRD)
